,client_id,item_name,score
0,14795,ГЖ-7-1,3.0
1,14795,ГМ-50-1,3.0
2,14795,ГМ-55-1,3.0
3,14795,РМ-8-1,3.0
4,14795,АКС-1-41,3.0
5,14795,АКС-1-42,3.0
6,14795,АО-8-28,3.0
7,14795,АО-8-70,3.0
8,14795,АО-9-56,3.0
9,14795,ДЖП-104-2,3.0
10,14795,ДЖП-104-6,4.0
11,14795,ККЛ-76-1,6.0
12,14795,КО-42-12,2.0
13,14795,КО-42-19,2.0
14,14795,КО-42-20,2.0
15,14795,КО-42-25,3.0
16,14795,КО-42-34,2.0
17,14795,КО-42-35,3.0
18,14795,КО-42-36,2.0
19,14795,КО-49-12,3.0
20,14795,КО-49-5,3.0
21,14795,ОШТ-5-13,3.0
22,14795,ОШТ-5-21,3.0
23,14795,ППП-81-3,3.0
24,14795,ППП-81-6,3.0
25,14795,ШО-37-67,4.0
26,14795,ПЛП-80-1,10.0
27,14795,ПП-217-1,3.0
28,14795,ПП-319-1,3.0
29,14795,СО-66-1,6.0
30,17255,ГМ-51-1,3.0
31,17255,РМ-11-1,3.0
32,17255,РМ-5-1,3.0
33,17255,КПГС-23-11,1.0
34,17255,КПКП-35-5,1.0
35,17255,ППП-2-1,1.0
36,17255,ППП-2-18,1.0
37,17255,ППП-2-2,1.0
38,17255,ППП-2-25,1.0
39,17255,ППП-2-4,1.0
40,17255,РБ-49-1,1.0
41,17255,РБ-49-2,1.0
42,17255,РБ-49-3,1.0
43,17255,РБ-49-4,1.0
44,17255,РБ-49-5,1.0
45,17255,РБ-74-1,1.0
46,17255,РБ-74-2,1.0
47,17255,ТС-20-2,4.0
48,17255,ТС-28-1,4.0
49,17255,ТТМ-319-1,8.0
50,17255,БХ-2-1,5.0
51,17255,СОД-3-1,10.0
52,21303,ГМ-23-1,10.0
53,21303,ГМ-40-1,10.0
54,21303,ГМ-50-1,10.0
55,22469,ГМ-13-1,3.0
56,22469,АО-1-2,2.0
57,22469,АО-1-3,2.0
58,22469,АО-3-5,2.0
59,22469,АО-9-40,3.0
60,22469,АО-9-43,2.0
61,22469,АО-9-49,3.0
62,22469,АО-9-51,3.0
63,22469,АО-9-52,3.0
64,22469,КО-90-1,3.0
65,22469,КО-90-11,3.0
66,22469,КО-90-12,3.0
67,22469,КО-90-14,3.0
68,22469,КО-90-2,3.0
69,22469,ЛН-48-1,3.0
70,22469,ЛН-48-2,3.0
71,22469,ЛН-48-3,3.0
72,22469,ПБ-1-10,3.0
73,22469,ПБ-1-11,3.0
74,22469,ПБ-1-12,3.0
75,22469,ПБ-1-16,3.0
76,22469,ПБ-1-2,3.0
77,22469,ПБ-1-25,2.0
78,22469,РБ-37-3,2.0
79,22469,ТСС-1-17,2.0
80,22469,ТСС-1-21,2.0
81,22469,ТСС-1-30,3.0
82,22469,ТСС-1-32,3.0
83,22469,ТСС-14-1,3.0
84,22469,ТСС-20-1,3.0
85,22469,ТСС-20-2,3.0
86,22469,ТСС-21-1,3.0
87,22469,ТСС-21-2,3.0
88,22469,ШО-37-11,3.0
89,22469,ШП-349-1,1.0
90,22469,БРЗ-4-1,4.0
91,22469,ГР-53-11,10.0
92,22469,СРЖ-8-1,5.0
93,22469,ТС-28-1,5.0
94,22469,ТТБО-5-1,7.0
95,22469,ТТО-2-10,7.0
96,22469,ТТО-21-1,10.0
97,22469,ТТО-21-3,5.0
98,22469,ТТО-23-2,5.0
99,22469,ТТОК-40-1,4.0
100,22469,ПВГ-1-12,2.0
101,22469,ПВГ-1-26,1.0
102,22469,ПВГ-1-3,2.0
103,22469,ПВГ-10-1,2.0
104,22469,РЖК-75-1,3.0
105,22469,СР-101-1,3.0
106,22469,СР-69-1,3.0
107,22469,СР-72-1,3.0
108,22469,СР-81-1,3.0
109,22469,СР-96-1,3.0
110,22469,СР-97-1,3.0
111,60327,ГМ-5-1,6.0
112,60327,Г150-106-1,10.0
113,85212,ГМ-2-1,9.0
114,85212,ГМ-38-1,10.0
115,125978,ГШ-12-1,10.0
116,127001,ГШ-4-1,10.0
117,147289,ГМ-39-1,2.0
118,147289,ГМ-48-1,2.0
119,147289,АО-8-17,2.0
120,147289,АП-85-1,1.0
121,147289,ВПП-106-1,1.0
122,147289,ВПП-179-1,1.0
123,147289,ВПП-183-1,1.0
124,147289,ВПП-193-1,1.0
125,147289,ВПП-193-2,1.0
126,147289,ВПП-49-1,1.0
127,147289,ВПП-49-2,1.0
128,147289,ДЖП-62-1,1.0
129,147289,ДЖП-93-1,1.0
130,147289,ДЖП-93-2,1.0
131,147289,ЖКК-20-28,1.0
132,147289,ЖКК-30-11,3.0
133,147289,ЖКК-30-14,3.0
134,147289,ЖКК-30-15,3.0
135,147289,ЖКК-30-2,3.0
136,147289,КО-22-1,2.0
137,147289,КО-40-44,2.0
138,147289,КПИ-16-1,1.0
139,147289,КПИ-17-1,1.0
140,147289,КПКП-37-2,1.0
141,147289,КПКП-37-5,1.0
142,147289,КПКП-37-6,1.0
143,147289,КРП-93-1,1.0
144,147289,ЛН-40-11,1.0
145,147289,ЛН-40-12,1.0
146,147289,ЛН-40-18,1.0
147,147289,ЛН-40-2,1.0
148,147289,ЛН-40-27,1.0
149,147289,ЛН-40-3,1.0
150,147289,ЛН-40-30,1.0
151,147289,ЛН-40-36,1.0
152,147289,ЛН-40-6,1.0
153,147289,ЛН-40-9,1.0
154,147289,ЛН-41-1,1.0
155,147289,ЛН-41-2,1.0
156,147289,ЛН-41-3,1.0
157,147289,ЛН-47-1,1.0
158,147289,ЛН-47-2,1.0
159,147289,ЛН-47-3,1.0
160,147289,ПБ-58-1,1.0
161,147289,ПБ-65-1,1.0
162,147289,ПБ-66-1,1.0
163,147289,ПД-2-25,2.0
164,147289,ПД-2-7,2.0
